Experiment,RMSE,MAE
PMF (SVD),0.896321162779414,0.6900149892318167
"User-based CF (cosine, K=40)",0.924374651283588,0.7088613626728614
"Item-based CF (cosine, K=40)",0.9262943911633649,0.7090012908682646
User-based CF (best sim: msd),0.9196350853089728,0.7034893033206966
Item-based CF (best sim: msd),0.9169598273656774,0.7013853179543169
User-based CF (best K: 40),0.9225758483201274,0.7062074663577418
Item-based CF (best K: 100),0.9209618875440398,0.7053922493148093
